NU,SIGMA2,FREQ,TAU,SKEW,XMAX,PROBUT,P_XP,N_VARREG,HERL_factor,JERL_factor
0.1,0.5,0.999,4.172357943,0.75,2.950302595,0.999,0.99,3,0.205556951,0.160378555
0.1,0.5,0.999,4.316300844,0.85,3.052085596,0.999,0.99,3,0.207469632,0.159323874
0.1,0.5,0.999,4.459679341,0.95,3.153469504,0.999,0.99,3,0.209243124,0.158559908
0.1,0.5,0.999,4.602377881,1.05,3.254372609,0.999,0.99,3,0.210878236,0.157997402
0.1,0.5,0.999,4.74429182,1.15,3.354720917,0.999,0.99,3,0.212376902,0.157563616
0.1,0.5,0.999,4.885326494,1.25,3.454447492,0.999,0.99,3,0.213742197,0.157200792
0.1,0.5,0.999,5.025396461,1.35,3.553491915,0.999,0.99,3,0.214978191,0.156863957
0.1,0.75,0.8,0.835433233,-1.35,0.723506403,0.8,0.99,3,0.256992178,0.440160239
0.1,0.75,0.8,0.841162015,-1.25,0.728467673,0.8,0.99,3,0.261525481,0.436271883
0.1,0.75,0.8,0.846000204,-1.15,0.732657668,0.8,0.99,3,0.265840172,0.43045867
0.1,0.75,0.8,0.849956064,-1.05,0.736083543,0.8,0.99,3,0.269970607,0.422906893
0.1,0.75,0.8,0.853041018,-0.95,0.738755192,0.8,0.99,3,0.273948676,0.413823089
0.1,0.75,0.8,0.855268566,-0.85,0.740684306,0.8,0.99,3,0.277803672,0.403440148
0.1,0.75,0.8,0.856653369,-0.75,0.741883579,0.8,0.99,3,0.281562039,0.392023641
0.1,0.75,0.8,0.857210501,-0.65,0.74236607,0.8,0.99,3,0.285247789,0.379879284
0.1,0.75,0.8,0.856954903,-0.55,0.742144716,0.8,0.99,3,0.288882355,0.367355243
0.1,0.75,0.8,0.855900979,-0.45,0.741231991,0.8,0.99,3,0.292483395,0.354834728
0.1,0.75,0.8,0.854062337,-0.35,0.73963968,0.8,0.99,3,0.296069739,0.342731296
0.1,0.75,0.8,0.851451643,-0.25,0.737378753,0.8,0.99,3,0.299655942,0.331441687
0.1,0.75,0.8,0.848080556,-0.15,0.734459306,0.8,0.99,3,0.303323933,0.321450147
0.1,0.75,0.8,0.833506821,0.15,0.721838082,0.8,0.99,3,0.314029301,0.298898568
0.1,0.75,0.8,0.8271917,0.25,0.716369026,0.8,0.99,3,0.317982208,0.29450495
0.1,0.75,0.8,0.820161054,0.35,0.710280308,0.8,0.99,3,0.321790306,0.290628998
0.1,0.75,0.8,0.812422049,0.45,0.703578133,0.8,0.99,3,0.325670559,0.287420531
0.1,0.75,0.8,0.803981688,0.55,0.696268566,0.8,0.99,3,0.329622915,0.284671289
0.1,0.75,0.8,0.794847058,0.65,0.688357745,0.8,0.99,3,0.3336563,0.282258512
0.1,0.75,0.8,0.78502561,0.75,0.679852121,0.8,0.99,3,0.337774355,0.280113328
0.1,0.75,0.8,0.774525452,0.85,0.670758717,0.8,0.99,3,0.341981664,0.278214659
0.1,0.75,0.8,0.763355671,0.95,0.661085403,0.8,0.99,3,0.346281683,0.276567503
0.1,0.75,0.8,0.751526652,1.05,0.650841172,0.8,0.99,3,0.350677215,0.275189269
0.1,0.75,0.8,0.739050388,1.15,0.64003641,0.8,0.99,3,0.355169965,0.274099429
0.1,0.75,0.8,0.725940767,1.25,0.628683146,0.8,0.99,3,0.359760999,0.273314876
0.1,0.75,0.8,0.71221381,1.35,0.616795252,0.8,0.99,3,0.364450236,0.272846771
0.1,0.75,0.9,1.052871969,-1.35,0.911813872,0.9,0.99,3,0.199699359,0.311473127
0.1,0.75,0.9,1.075197193,-1.25,0.931148083,0.9,0.99,3,0.206328824,0.320693859
0.1,0.75,0.9,1.096769513,-1.15,0.94983026,0.9,0.99,3,0.212712142,0.328088822
0.1,0.75,0.9,1.117541459,-1.05,0.967819294,0.9,0.99,3,0.218877113,0.333597485
0.1,0.75,0.9,1.137475508,-0.95,0.985082686,0.9,0.99,3,0.224851187,0.337150775
0.1,0.75,0.9,1.156542569,-0.85,1.001595245,0.9,0.99,3,0.230660915,0.33867047
0.1,0.75,0.9,1.174720466,-0.75,1.017337766,0.9,0.99,3,0.236331146,0.33807513
0.1,0.75,0.9,1.191992507,-0.65,1.032295792,0.9,0.99,3,0.241885026,0.335300228
0.1,0.75,0.9,1.20834622,-0.55,1.046458523,0.9,0.99,3,0.247343802,0.330333246
0.1,0.75,0.9,1.223772277,-0.45,1.05981788,0.9,0.99,3,0.252726242,0.323263305
0.1,0.75,0.9,1.238263621,-0.35,1.072367752,0.9,0.99,3,0.258051032,0.314343667
0.1,0.75,0.9,1.251814769,-0.25,1.084103391,0.9,0.99,3,0.263333759,0.304021072
0.1,0.75,0.9,1.264421271,-0.15,1.095020942,0.9,0.99,3,0.268613881,0.29298273
0.1,0.75,0.9,1.296536239,0.15,1.12283332,0.9,0.99,3,0.284168037,0.261836815
0.1,0.75,0.9,1.305328467,0.25,1.130447613,0.9,0.99,3,0.289593991,0.25443198
0.1,0.75,0.9,1.313158747,0.35,1.137228834,0.9,0.99,3,0.294886034,0.248360704
0.1,0.75,0.9,1.320023702,0.45,1.143174059,0.9,0.99,3,0.30023043,0.24387005
0.1,0.75,0.9,1.325919997,0.55,1.1482804,0.9,0.99,3,0.305620398,0.24076436
0.1,0.75,0.9,1.33084446,0.65,1.152545111,0.9,0.99,3,0.311066688,0.238847324
0.1,0.75,0.9,1.334794251,0.75,1.15596573,0.9,0.99,3,0.316577183,0.23792662
0.1,0.75,0.9,1.337767079,0.85,1.158540275,0.9,0.99,3,0.322156839,0.237833391
0.1,0.75,0.9,1.33976145,0.95,1.16026745,0.9,0.99,3,0.32781166,0.238433594
0.1,0.75,0.9,1.340776949,1.05,1.161146899,0.9,0.99,3,0.333545049,0.239620498
0.1,0.75,0.9,1.340814533,1.15,1.161179447,0.9,0.99,3,0.339359447,0.241312164
0.1,0.75,0.9,1.339876809,1.25,1.160367355,0.9,0.99,3,0.345255649,0.243444944
0.1,0.75,0.9,1.337968302,1.35,1.158714539,0.9,0.99,3,0.351233348,0.245969334
0.1,0.75,0.99,1.350114404,-1.35,1.169233372,0.99,0.99,3,0.151654559,0.187867101
0.1,0.75,0.99,1.415785025,-1.25,1.226105798,0.99,0.99,3,0.157777101,0.196763168
